"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Empyrean Eagle","WU","U","1719","4.22","462","","2236","69.8%","60.8%","359","","635","63.5%","994","62.5%","1236","59.5%","3.0pp"
"Good-Fortune Unicorn","WG","U","1965","4.74","273","","1267","64.1%","59.2%","212","","285","","497","","764","60.7%",""
"Heroic Reinforcements","WR","U","2116","4.91","446","","1910","58.6%","61.2%","305","","455","","760","60.1%","1146","61.7%","-1.6pp"
"Lathril, Blade of the Elves","BG","R","684","3.77","97","","325","44.6%","","55","","68","","123","","203","",""
"Muldrotha, the Gravetide","UBG","M","307","","88","","459","70.6%","","75","","129","","204","","251","",""
"Progenitus","WUBRG","M","595","5.58","94","","14","2.1%","","1","","7","","8","","7","",""
"Ruby, Daring Tracker","RG","U","2157","5.32","345","","1547","60.6%","61.8%","281","","313","","594","64.0%","953","60.4%","3.5pp"
"Swiftblade Vindicator","WR","R","854","4.72","149","","519","47.4%","59.0%","98","","111","","209","","310","",""
"Tatyova, Benthic Druid","UG","U","1807","4.39","328","","1607","68.6%","57.8%","266","","449","","715","57.6%","896","57.8%","-0.2pp"
"Thousand-Year Storm","UR","R","1228","6.20","172","","35","3.0%","","7","","8","","15","","20","",""
"Adventuring Gear","","U","2867","7.60","275","","78","4.0%","","15","","14","","29","","49","",""
"Burnished Hart","","U","2382","5.63","242","","660","40.6%","54.8%","105","","173","","278","","380","",""
"Campus Guide","","C","6850","6.36","877","9.43","2680","43.2%","56.1%","525","55.6%","670","54.0%","1195","54.7%","1480","57.2%","-2.4pp"
"Gleaming Barrier","","C","7221","7.71","676","11.48","689","14.4%","56.5%","116","","174","","290","","400","",""
"Goldvein Pick","","C","6613","5.70","1066","8.15","4678","61.9%","58.3%","774","54.9%","1092","58.2%","1866","56.9%","2809","59.2%","-2.3pp"
"Heraldic Banner","","U","2237","4.74","386","","1773","63.9%","59.8%","293","","425","","718","64.5%","1053","56.6%","7.9pp"
"Juggernaut","","U","2759","7.13","275","","304","15.4%","","51","","71","","122","","182","",""
"Meteor Golem","","U","2425","5.15","433","","1775","59.0%","58.0%","297","","464","","761","59.7%","1011","56.7%","3.0pp"
"Solemn Simulacrum","","R","319","","176","","1195","94.0%","58.2%","192","","291","","483","","712","58.1%",""
"Swiftfoot Boots","","U","2729","6.45","235","","174","10.5%","","26","","40","","66","","108","",""
"Bloodfell Caves","","C","3434","6.43","620","9.12","2439","54.9%","60.6%","509","59.3%","597","55.8%","1106","57.4%","1333","63.2%","-5.8pp"
"Blossoming Sands","","C","3466","6.67","471","","1637","48.4%","60.4%","304","","380","","684","60.5%","951","60.1%","0.4pp"
"Dismal Backwater","","C","3326","6.03","651","8.40","2889","62.7%","59.5%","545","63.7%","768","62.9%","1313","63.2%","1567","56.3%","6.9pp"
"Evolving Wilds","","C","5573","4.45","1256","6.40","8454","94.8%","60.9%","1712","61.7%","1954","60.8%","3666","61.3%","4780","60.7%","0.6pp"
"Jungle Hollow","","C","3442","6.41","498","","1705","47.8%","57.1%","334","","383","","717","56.3%","986","57.6%","-1.3pp"
"Rogue's Passage","","U","2721","6.47","293","","854","41.3%","61.7%","163","","195","","358","","497","",""
"Rugged Highlands","","C","3426","6.97","525","10.10","1752","46.6%","60.8%","326","","347","","673","60.8%","1079","60.8%","-0.0pp"
"Scoured Barrens","","C","3365","5.95","637","8.18","2875","64.3%","59.4%","564","59.4%","657","57.2%","1221","58.2%","1653","60.2%","-2.0pp"
"Secluded Courtyard","","U","2821","7.88","233","","36","2.2%","","5","","4","","9","","27","",""
"Swiftwater Cliffs","","C","3513","6.89","603","9.65","1905","44.3%","60.4%","377","","434","","811","61.5%","1090","59.6%","1.9pp"
"Thornwood Falls","","C","3434","6.60","498","","1876","52.4%","60.0%","369","","444","","813","62.0%","1061","58.3%","3.7pp"
"Tranquil Cove","","C","3394","6.22","571","8.83","2477","60.5%","60.0%","491","","617","56.4%","1108","57.8%","1364","61.8%","-4.0pp"
"Wind-Scarred Crag","","C","3520","6.78","567","9.55","1978","49.0%","60.3%","404","","408","","812","60.0%","1164","60.5%","-0.5pp"
"Condemn","W","U","59","","18","","78","","","10","","22","","32","","45","",""
"Sphinx's Tutelage","U","U","79","","13","","40","","","6","","16","","22","","18","",""
"Grim Tutor","B","M","57","","7","","6","","","1","","1","","2","","4","",""
"Goblin Bushwhacker","R","C","102","","16","","60","","","5","","19","","24","","35","",""
"Embercleave","R","M","36","","18","","120","","","20","","24","","44","","76","",""
"Paradise Druid","G","U","72","","21","","127","","","22","","24","","46","","80","",""
"Bloom Tender","G","R","55","","12","","58","","","9","","17","","26","","32","",""
"Akroma's Memorial","","M","40","","19","","86","","","17","","16","","33","","53","",""
"Temporal Manipulation","U","M","41","","14","","61","","","11","","15","","26","","35","",""
"Fiend Artisan","BG","M","24","","8","","48","","","5","","8","","13","","35","",""
